server,payload_size,rtt_min,rtt_max,rtt_avg,rtt_std
lon.speedtest.clouvider.net,710,1.514,1.668,1.588,0.058
lon.speedtest.clouvider.net,720,1.59,1.649,1.614,0.021
lon.speedtest.clouvider.net,730,1.488,1.609,1.566,0.047
lon.speedtest.clouvider.net,740,1.573,1.628,1.607,0.022
lon.speedtest.clouvider.net,750,1.549,1.677,1.619,0.05
lon.speedtest.clouvider.net,760,1.592,1.848,1.715,0.091
lon.speedtest.clouvider.net,770,1.533,1.826,1.642,0.11
lon.speedtest.clouvider.net,780,1.536,1.652,1.62,0.048
lon.speedtest.clouvider.net,790,1.576,1.636,1.61,0.021
lon.speedtest.clouvider.net,800,1.664,1.851,1.779,0.071
lon.speedtest.clouvider.net,810,1.707,2.604,2.035,0.341
lon.speedtest.clouvider.net,820,1.788,2.211,1.963,0.172
lon.speedtest.clouvider.net,830,1.635,4.379,2.365,1.164
lon.speedtest.clouvider.net,840,1.555,1.661,1.622,0.04
lon.speedtest.clouvider.net,850,1.561,1.714,1.635,0.055
lon.speedtest.clouvider.net,860,1.533,1.773,1.666,0.086
lon.speedtest.clouvider.net,870,1.497,1.638,1.577,0.051
lon.speedtest.clouvider.net,880,1.535,1.607,1.588,0.03
lon.speedtest.clouvider.net,890,1.552,1.634,1.603,0.03
lon.speedtest.clouvider.net,900,1.531,1.66,1.609,0.047
lon.speedtest.clouvider.net,910,1.516,1.666,1.6,0.054
lon.speedtest.clouvider.net,920,1.602,1.643,1.626,0.016
lon.speedtest.clouvider.net,930,1.524,1.637,1.604,0.046
lon.speedtest.clouvider.net,940,1.52,1.662,1.623,0.059
lon.speedtest.clouvider.net,950,1.569,1.659,1.629,0.035
lon.speedtest.clouvider.net,960,1.605,1.732,1.647,0.049
lon.speedtest.clouvider.net,970,1.578,1.635,1.612,0.022
lon.speedtest.clouvider.net,980,1.541,1.661,1.621,0.047
lon.speedtest.clouvider.net,990,1.509,1.724,1.623,0.076
lon.speedtest.clouvider.net,1000,1.611,1.69,1.649,0.036
lon.speedtest.clouvider.net,1010,1.511,1.625,1.58,0.043
lon.speedtest.clouvider.net,1020,1.514,1.771,1.619,0.093
lon.speedtest.clouvider.net,1030,1.474,1.642,1.581,0.064
lon.speedtest.clouvider.net,1040,1.543,1.733,1.619,0.072
lon.speedtest.clouvider.net,1050,1.531,1.636,1.592,0.038
lon.speedtest.clouvider.net,1060,1.561,1.747,1.653,0.066
lon.speedtest.clouvider.net,1070,1.588,1.73,1.627,0.059
lon.speedtest.clouvider.net,1080,1.585,1.603,1.594,0.007
lon.speedtest.clouvider.net,1090,1.553,1.915,1.673,0.141
lon.speedtest.clouvider.net,1100,1.525,1.733,1.619,0.075
lon.speedtest.clouvider.net,1110,1.567,1.686,1.609,0.045
lon.speedtest.clouvider.net,1120,1.555,1.614,1.589,0.022
